Pedido,Cantidad,Transaccion
ENERGIZANTE 330ML PET X 24,12,54
ENVASE PURE WATER 20000 MLx1,23,55
99000-TESALIA BOTELLON,22,55
000-CHANCLETA DELISODA 24 UN,20,55
99000-ENVASE DELI VID 250*24,20,55
99000-DELI OW TWIST 250*24,20,55
GUITIG 300 ML + 18% BONI PET X 24,20,55
20000 ML PET AGUA SIN GAS,11,55
20000 ML PET AGUA SIN GAS,11,56
ENVASE PURE WATER 20000 MLx1,11,56
ENERGIZANTE 330ML PET X 24,11,56
20000 ML PET AGUA SIN GAS,20,56
99000-TESALIA BOTELLON,20,56
99000-DELI OW TWIST 250*24,20,57
GUITIG 300 ML + 18% BONI PET X 24,20,57
600 ML PET ENERGIZANTE *24,6,57
99000-TESALIA BOTELLON,6,57
CSD 2500 ML PET,24,57
CSD 2500 ML PET,24,58
99000-ENVASE DELI VID 250*24,20,58
000-CHANCLETA DELISODA 24 UN,20,58
ENVASE PURE WATER 20000 MLx1,20,58
99000-DELI OW TWIST 250*24,20,59
GUITIG 300 ML + 18% BONI PET X 24,40,59
99000-TESALIA BOTELLON,20,59
20000 ML PET AGUA SIN GAS,20,59
99000-ENVASE DELI VID 250*24,20,59
000-CHANCLETA DELISODA 24 UN,20,59
20000 ML PET AGUA SIN GAS,20,60
99000-ENVASE DELI VID 250*24,20,60
CSD 2500 ML PET,1,60
99000-TESALIA BOTELLON,30,60
99000-TESALIA BOTELLON,31,61
99000-ENVASE DELI VID 250*24,30,61
000-CHANCLETA DELISODA 24 UN,30,61
99000-ENVASE DELI VID 250*24,30,62
000-CHANCLETA DELISODA 24 UN,30,62
TEMPORAL1596,3,62
TEMPORAL1596,3,62
TEMPORAL1596,3,62
TEMPORAL1596,3,62
TEMPORAL1596,1,62
TEMPORAL1596,1,62
TEMPORAL1596,1,62
TEMPORAL1596,1,62
99000-TESALIA BOTELLON,20,62
000-CHANCLETA DELISODA 24 UN,20,62
MODIF COCOA FUNDA,1,62
CSD 2500 ML PET,1,62
CSD 2500 ML PET,2,63
99000-ENVASE DELI VID 250*24,20,63
000-CHANCLETA DELISODA 24 UN,20,63
99000-ENVASE DELI VID 250*24,20,64
000-CHANCLETA DELISODA 24 UN,20,64
99000-TESALIA BOTELLON,30,64
CSD 2500 ML PET,3,64
99000-TESALIA BOTELLON,30,65
CSD 2500 ML PET,3,65
99000-ENVASE DELI VID 250*24,30,65
000-CHANCLETA DELISODA 24 UN,30,65
99000-ENVASE DELI VID 250*24,30,66
000-CHANCLETA DELISODA 24 UN,30,66
3785 ML PET CARBONATADAS,1,66
68- GATORADE 24 PACK,12,66
ENERGIZANTE 330ML PET X 24,6,66
3785 ML PET CARBONATADAS,2,66
99000-TESALIA BOTELLON,20,66
99000-GUITIG PET 1500*12,6,66
3785 ML PET CARBONATADAS,1,66
000-CHANCLETA DELISODA 24 UN,30,67
99000-TESALIA BOTELLON,18,67
99000-GUITIG PET 1500*12,18,67
68- GATORADE 24 PACK,3,67
3785 ML PET CARBONATADAS,4,67
99000-TESALIA BOTELLON,25,68
000-CHANCLETA DELISODA 24 UN,20,68
99000-ENVASE DELI VID 250*24,20,68
